url,local_filename
https://pk-live-21.slatic.net/kf/S8dfa73832c7b4dd48c3eeabdaea046fbQ.jpg,496492353-1-adbdb123.jpg
https://pk-live-21.slatic.net/kf/S02b400f2d5934119bd3d15e71dd006b39.jpg,496492353-2-71899f14.jpg
https://pk-live-21.slatic.net/kf/Sb81a593f37794e60a6593b192c7c32e5k.jpg,496492353-3-de4e3b5e.jpg
https://pk-live-21.slatic.net/kf/S97d44333ac4b40268b8bd5ba14e23566W.jpg,496492353-4-1e871f9c.jpg
https://pk-live-21.slatic.net/kf/Saa38c2592f444348b2694098a12c96c0b.jpg,496492353-5-bc0c8b8c.jpg
https://pk-live-21.slatic.net/kf/Sfce4409beff444bf9322a6ab3269173df.jpg,496492353-6-e1f71bc9.jpg
https://pk-live-21.slatic.net/kf/S54c2ea1cbfc4411b90d6e022318a65a2O.jpg,496492353-7-0a6dd9f6.jpg
https://pk-live-21.slatic.net/kf/S98920ee9568b449189c230282ec8dc79N.jpg,496492353-desc1-1ef155f0.jpg
https://pk-live-21.slatic.net/kf/S531009e33bda4d7abb1d81b3b43d6a58N.jpg,496492353-desc2-4876ea8e.jpg
https://pk-live-21.slatic.net/kf/Sf12af6d64f7f42368fcc1cb22740d23d4.jpg,496492353-desc3-6baf49ee.jpg
https://pk-live-21.slatic.net/kf/S563ea178e0884caab63e77aea595a40ce.jpg,496513362-1-524736ee.jpg
https://pk-live-21.slatic.net/kf/Sbb66f0e8f1e344d29abe57ec424c8412G.jpg,496513362-2-6cbc26f3.jpg
https://pk-live-21.slatic.net/kf/S09a9918ed3844031a8391950c5c07006W.jpg,496513362-3-5088c405.jpg
https://pk-live-21.slatic.net/kf/S6fd8ed8de3e64ceb819e590fa24830fcS.jpg,496513362-4-6b73f3ba.jpg
https://pk-live-21.slatic.net/kf/S7e668272e0eb43d08ef8e620e93a0e697.jpg,496513362-5-5a9160d4.jpg
https://pk-live-21.slatic.net/kf/Sa313a8cccb9c4331a6feea50b07b1bc2R.jpg,496513362-6-c00bccf6.jpg
https://pk-live-21.slatic.net/kf/Sc51b9448b6024416a005e9ef9574e541b.jpg,496513362-7-f301b837.jpg
https://static-01.daraz.pk/p/3bf4c998983d25e82fedb340cd3a16b5.jpg,496513362-wb-826612d4.jpg
https://pk-live-21.slatic.net/kf/Secb7f350cd8348999e9c91e1f9ac6028N.jpg,496513362-desc1-8c0a7d7f.jpg
https://pk-live-21.slatic.net/kf/S60e7b76da018421f97e0dc4a69a2674dr.jpg,496522548-1-13ec5a91.jpg
https://pk-live-21.slatic.net/kf/Sed17eda91e684ec79270df771aa8ecdbB.jpg,496522548-2-8909364e.jpg
https://pk-live-21.slatic.net/kf/S27629242860a41328517f3b8137f960bT.jpg,496522548-3-7fcab5b2.jpg
https://pk-live-21.slatic.net/kf/Sede85c1fbe8b46cabe8fec37e138a55bG.jpg,496522548-4-158ea720.jpg
https://pk-live-21.slatic.net/kf/Sb2850f998ae74426b3f6ad975d64be1bq.jpg,496522548-5-21ad01e7.jpg
https://pk-live-21.slatic.net/kf/Sea3c88560d2f4a5ca9929bdc91785152M.jpg,496522548-6-bf93695b.jpg
https://pk-live-21.slatic.net/kf/S08c28c696136462386bdec5f78a89d5ci.jpg,496522548-desc1-b3b34891.jpg
https://pk-live-21.slatic.net/kf/S3489726d44e94f3286fcb108c7169bb5l.jpg,496522548-desc2-928b5ac6.jpg
https://pk-live-21.slatic.net/kf/S4c9161410a824a699d1cec54854c389aG.jpg,496532243-1-75c99f34.jpg
https://pk-live-21.slatic.net/kf/Sb1a73bcca43745d0bceab6a8bcdf65d5K.jpg,496532243-2-9cb71709.jpg
https://pk-live-21.slatic.net/kf/S2491611fa27b4930a92123cfe8c7ce61W.jpg,496532243-3-47a18457.jpg
https://pk-live-21.slatic.net/kf/Sf77d989f65074b7b9f902ed9f14968beb.jpg,496532243-4-b17f895a.jpg
https://pk-live-21.slatic.net/kf/S204658f091254ea8b8b58af90f8dc22cC.jpg,496532243-5-5212261b.jpg
https://pk-live-21.slatic.net/kf/S8e83c65f78d4442a9ed2398bb6a57be6L.jpg,496532243-6-1fec2f49.jpg
https://static-01.daraz.pk/p/adb8e5f1f6c2f2cddeab1bea8580deb2.jpg,496532243-wb-cdc46334.jpg
https://pk-live-21.slatic.net/kf/S644b86423762458597e2ed52fa164e55N.jpg,496570865-1-b144eaf0.jpg
https://pk-live-21.slatic.net/kf/S5da30f6897dd46bdbc0b6c4660e4c26c1.jpg,496570865-2-b16b874e.jpg
https://pk-live-21.slatic.net/kf/Sb09d1e73fa4042b495c3ecdd4f7f88adL.jpg,496570865-3-16c6078b.jpg
https://pk-live-21.slatic.net/kf/Sa2576108c8f74640ba4dfeb053a94f49s.jpg,496570865-4-287da726.jpg
https://pk-live-21.slatic.net/kf/S2731c594e5fd4f5c84fc9f611799b3a8T.jpg,496570865-5-298d510b.jpg
https://pk-live-21.slatic.net/kf/Sc627a830f5ee4c33a19c66b13b9d0812x.jpg,496570865-6-b10157ea.jpg
https://pk-live-21.slatic.net/kf/Sbaa4e808dca64f17b64ba21ab20fefb7O.jpg,496570865-7-475b6560.jpg
https://static-01.daraz.pk/p/7c2473d9d978e1cae96c6323885c88a9.jpg,496570865-wb-4e491c67.jpg
https://pk-live-21.slatic.net/kf/Sb3c95fd39754430b9f27f2d82b1bb9e8p.jpg,496570865-desc1-75eb09e8.jpg
https://pk-live-21.slatic.net/kf/Sc064ddf4c28c466b845c9062d8f2a37dy.jpg,496570865-desc3-51736dc0.jpg
https://pk-live-21.slatic.net/kf/S5fc075366ecd4d46b8dc12a3d0516483X.jpg,496570865-desc4-b376700e.jpg
https://pk-live-21.slatic.net/kf/Sd27bf6a9aec74d25aa46e77a6c819698x.jpg,496571548-1-91d7e807.jpg
https://pk-live-21.slatic.net/kf/S737ac8ecb3714ff395501c15c802e37fr.jpg,496571548-2-5f944732.jpg
https://pk-live-21.slatic.net/kf/S5a31927f56fb4cd9bce30fba6d8155e5S.jpg,496571548-3-9e1eacbc.jpg
https://pk-live-21.slatic.net/kf/S892646acef054e7e92b766d436f3543cG.jpg,496571548-4-5a26ab1b.jpg
https://pk-live-21.slatic.net/kf/S89d9028ff8604c4a896b1d92aaebe2efg.jpg,496571548-5-f271b285.jpg
https://pk-live-21.slatic.net/kf/S0b9f13a59ef34af0b355c95d6615eccdO.jpg,496571548-6-40661eee.jpg
https://pk-live-21.slatic.net/kf/Sd0b6b7693fdf48a3949d93fd541ef022p.jpg,496571548-desc1-48f03072.jpg
